timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
51,50,1
101,50,1
151,50,1
201,50,1
251,50,1
301,50,1
351,50,1
401,50,1
451,50,1
501,50,1
551,50,1
601,50,1
651,50,1
701,50,1
751,50,1
801,50,1
851,50,1
901,50,1
951,50,1
1001,50,1
1051,50,1
1101,50,1
1151,50,1
1201,50,1
1251,50,1
1301,50,1
1351,50,1
1401,50,1
1451,50,1
1501,50,1
1551,50,1
1601,50,1
1651,50,1
1701,50,1
1751,50,1
1801,50,1
1851,50,1
1901,50,1
1951,50,1
2001,50,1
2051,50,1
2101,50,1
2151,50,1
2201,50,1
2251,50,1
2301,50,1
2351,50,1
2401,50,1
2451,50,1
2501,50,1
2551,50,1
2601,50,1
2651,50,1
2701,50,1
2751,50,1
2801,50,1
2851,50,1
2901,50,1
2951,50,1
3001,50,1
3051,50,1
3101,50,1
3151,50,1
3201,50,1
3251,50,1
3301,50,1
3351,50,1
3401,50,1
3451,50,1
3501,50,1
3551,50,1
3601,50,1
3651,50,1
3701,50,1
3751,50,1
3801,50,1
3851,50,1
3901,50,1
3951,50,1
4001,50,1
4051,50,1
4101,50,1
4151,50,1
4201,50,1
4251,50,1
4301,50,1
4351,50,1
4401,50,1
4451,50,1
4501,50,1
4551,50,1
4601,50,1
4651,50,1
4701,50,1
4751,50,1
4801,50,1
4851,50,1
4901,50,1
4951,50,1
5011,60,0.8333333333333334
5063,52,0.9615384615384615
5113,50,1
5163,50,1
5213,50,1
5263,50,1
5313,50,1
5363,50,1
5413,50,1
5463,50,1
5513,50,1
5563,50,1
5613,50,1
5663,50,1
5713,50,1
5763,50,1
5813,50,1
5863,50,1
5913,50,1
5963,50,1
6013,50,1
6063,50,1
6113,50,1
6163,50,1
6213,50,1
6263,50,1
6313,50,1
6363,50,1
6413,50,1
6463,50,1
6513,50,1
6563,50,1
6613,50,1
6663,50,1
6713,50,1
6763,50,1
6813,50,1
6863,50,1
6913,50,1
6963,50,1
7013,50,1
7063,50,1
7113,50,1
7163,50,1
7213,50,1
7263,50,1
7313,50,1
7363,50,1
7413,50,1
7463,50,1
7513,50,1
7563,50,1
7613,50,1
7663,50,1
7713,50,1
7763,50,1
7813,50,1
7863,50,1
7913,50,1
7963,50,1
8013,50,1
8063,50,1
8113,50,1
8163,50,1
8213,50,1
8263,50,1
8313,50,1
8363,50,1
8413,50,1
8463,50,1
8513,50,1
8563,50,1
8613,50,1
8663,50,1
8713,50,1
8763,50,1
8813,50,1
8863,50,1
8913,50,1
8963,50,1
9013,50,1
9063,50,1
9113,50,1
9163,50,1
9213,50,1
9263,50,1
9313,50,1
9363,50,1
9413,50,1
9463,50,1
9513,50,1
9563,50,1
9613,50,1
9663,50,1
9713,50,1
9763,50,1
9813,50,1
9863,50,1
9913,50,1
9963,50,1
10013,50,1
10063,50,1
10113,50,1
10163,50,1
10213,50,1
10263,50,1
10313,50,1
10363,50,1
10413,50,1
10463,50,1
10513,50,1
10563,50,1
10613,50,1
10663,50,1
10713,50,1
10763,50,1
10813,50,1
10863,50,1
10913,50,1
10963,50,1
11013,50,1
11063,50,1
11113,50,1
11163,50,1
11213,50,1
11263,50,1
11313,50,1
11363,50,1
11413,50,1
11463,50,1
11513,50,1
11563,50,1
11613,50,1
11663,50,1
11713,50,1
11763,50,1
11813,50,1
11863,50,1
11913,50,1
11963,50,1
12013,50,1
12063,50,1
12113,50,1
12163,50,1
12213,50,1
12264,51,0.9803921568627451
12314,50,1
12364,50,1
12414,50,1
12464,50,1
12514,50,1
12564,50,1
12614,50,1
12664,50,1
12714,50,1
12764,50,1
12814,50,1
12864,50,1
12914,50,1
12964,50,1
13014,50,1
13064,50,1
13114,50,1
13164,50,1
13214,50,1
13265,51,0.9803921568627451
13315,50,1
13365,50,1
13416,51,0.9803921568627451
13466,50,1
13516,50,1
13566,50,1
13616,50,1
