timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
1003,1000,1
2003,1000,1
3003,1000,1
4003,1000,1
5004,1001,0.9990009990009991
6005,1001,0.9990009990009991
7014,1009,0.9910802775024778
8015,1001,0.9990009990009991
9017,1002,0.998003992015968
10018,1001,0.9990009990009991
11019,1001,0.9990009990009991
12020,1001,0.9990009990009991
13020,1000,1
14026,1006,0.9940357852882704
15027,1001,0.9990009990009991
16028,1001,0.9990009990009991
17028,1000,1
18029,1001,0.9990009990009991
19029,1000,1
20030,1001,0.9990009990009991
21031,1001,0.9990009990009991
22032,1001,0.9990009990009991
23033,1001,0.9990009990009991
24034,1001,0.9990009990009991
25034,1000,1
26034,1000,1
27034,1000,1
28035,1001,0.9990009990009991
29035,1000,1
30036,1001,0.9990009990009991
31036,1000,1
32036,1000,1
33036,1000,1
34037,1001,0.9990009990009991
35037,1000,1
36037,1000,1
37037,1000,1
38037,1000,1
39037,1000,1
40037,1000,1
41038,1001,0.9990009990009991
42038,1000,1
43038,1000,1
44038,1000,1
45039,1001,0.9990009990009991
46040,1001,0.9990009990009991
47041,1001,0.9990009990009991
48042,1001,0.9990009990009991
49043,1001,0.9990009990009991
50043,1000,1
51043,1000,1
52043,1000,1
53043,1000,1
54043,1000,1
55043,1000,1
56044,1001,0.9990009990009991
57044,1000,1
58044,1000,1
59044,1000,1
60045,1001,0.9990009990009991
61045,1000,1
62046,1001,0.9990009990009991
63046,1000,1
64046,1000,1
65047,1001,0.9990009990009991
66048,1001,0.9990009990009991
67048,1000,1
68049,1001,0.9990009990009991
69049,1000,1
70049,1000,1
71049,1000,1
72049,1000,1
73049,1000,1
74049,1000,1
75049,1000,1
76055,1006,0.9940357852882704
77056,1001,0.9990009990009991
78056,1000,1
79056,1000,1
80056,1000,1
81056,1000,1
82056,1000,1
83057,1001,0.9990009990009991
84057,1000,1
85058,1001,0.9990009990009991
86058,1000,1
87060,1002,0.998003992015968
88060,1000,1
89060,1000,1
90060,1000,1
91061,1001,0.9990009990009991
92061,1000,1
93062,1001,0.9990009990009991
94063,1001,0.9990009990009991
95064,1001,0.9990009990009991
96065,1001,0.9990009990009991
97065,1000,1
98065,1000,1
99065,1000,1
100065,1000,1
101065,1000,1
102065,1000,1
103066,1001,0.9990009990009991
104067,1001,0.9990009990009991
105068,1001,0.9990009990009991
106068,1000,1
107069,1001,0.9990009990009991
108070,1001,0.9990009990009991
109070,1000,1
110070,1000,1
111070,1000,1
112071,1001,0.9990009990009991
113071,1000,1
114071,1000,1
115071,1000,1
116072,1001,0.9990009990009991
117072,1000,1
118072,1000,1
119073,1001,0.9990009990009991
120073,1000,1
121073,1000,1
122073,1000,1
123073,1000,1
124073,1000,1
125074,1001,0.9990009990009991
126074,1000,1
127074,1000,1
128075,1001,0.9990009990009991
129075,1000,1
130075,1000,1
131075,1000,1
132075,1000,1
133076,1001,0.9990009990009991
134077,1001,0.9990009990009991
135077,1000,1
136078,1001,0.9990009990009991
137078,1000,1
138079,1001,0.9990009990009991
139080,1001,0.9990009990009991
140080,1000,1
141080,1000,1
142080,1000,1
143081,1001,0.9990009990009991
144082,1001,0.9990009990009991
145083,1001,0.9990009990009991
146083,1000,1
147083,1000,1
148083,1000,1
149083,1000,1
150083,1000,1
151083,1000,1
152083,1000,1
153084,1001,0.9990009990009991
154084,1000,1
155085,1001,0.9990009990009991
156085,1000,1
157086,1001,0.9990009990009991
158087,1001,0.9990009990009991
159088,1001,0.9990009990009991
160089,1001,0.9990009990009991
161089,1000,1
162089,1000,1
163089,1000,1
164089,1000,1
165090,1001,0.9990009990009991
166090,1000,1
167091,1001,0.9990009990009991
168092,1001,0.9990009990009991
169092,1000,1
170092,1000,1
171092,1000,1
172092,1000,1
173092,1000,1
174092,1000,1
175092,1000,1
176092,1000,1
177093,1001,0.9990009990009991
178094,1001,0.9990009990009991
179095,1001,0.9990009990009991
180096,1001,0.9990009990009991
181096,1000,1
182097,1001,0.9990009990009991
183097,1000,1
184097,1000,1
185097,1000,1
186098,1001,0.9990009990009991
187098,1000,1
188098,1000,1
189098,1000,1
190098,1000,1
191098,1000,1
192098,1000,1
193099,1001,0.9990009990009991
194100,1001,0.9990009990009991
195101,1001,0.9990009990009991
196101,1000,1
197101,1000,1
198101,1000,1
199101,1000,1
200102,1001,0.9990009990009991
201102,1000,1
202103,1001,0.9990009990009991
203103,1000,1
204103,1000,1
205103,1000,1
206103,1000,1
207103,1000,1
208103,1000,1
209103,1000,1
210104,1001,0.9990009990009991
211104,1000,1
212104,1000,1
213104,1000,1
214104,1000,1
215104,1000,1
216104,1000,1
217104,1000,1
218104,1000,1
219105,1001,0.9990009990009991
220105,1000,1
221106,1001,0.9990009990009991
222106,1000,1
223106,1000,1
224106,1000,1
225106,1000,1
226106,1000,1
227106,1000,1
228106,1000,1
229106,1000,1
230106,1000,1
231107,1001,0.9990009990009991
232107,1000,1
233108,1001,0.9990009990009991
234108,1000,1
235108,1000,1
236109,1001,0.9990009990009991
237109,1000,1
238109,1000,1
239110,1001,0.9990009990009991
240111,1001,0.9990009990009991
241111,1000,1
242111,1000,1
243111,1000,1
244111,1000,1
245112,1001,0.9990009990009991
246112,1000,1
247113,1001,0.9990009990009991
248113,1000,1
249113,1000,1
250114,1001,0.9990009990009991
251114,1000,1
252114,1000,1
253114,1000,1
254114,1000,1
255115,1001,0.9990009990009991
256116,1001,0.9990009990009991
257116,1000,1
258118,1002,0.998003992015968
259118,1000,1
260118,1000,1
261119,1001,0.9990009990009991
262119,1000,1
263120,1001,0.9990009990009991
264121,1001,0.9990009990009991
265122,1001,0.9990009990009991
266122,1000,1
267123,1001,0.9990009990009991
268123,1000,1
269123,1000,1
270124,1001,0.9990009990009991
271124,1000,1
272125,1001,0.9990009990009991
273126,1001,0.9990009990009991
274126,1000,1
275127,1001,0.9990009990009991
276127,1000,1
277127,1000,1
278127,1000,1
279127,1000,1
280128,1001,0.9990009990009991
281129,1001,0.9990009990009991
282129,1000,1
283130,1001,0.9990009990009991
284131,1001,0.9990009990009991
285132,1001,0.9990009990009991
286133,1001,0.9990009990009991
287134,1001,0.9990009990009991
288135,1001,0.9990009990009991
289135,1000,1
290135,1000,1
291136,1001,0.9990009990009991
292137,1001,0.9990009990009991
293138,1001,0.9990009990009991
294138,1000,1
295138,1000,1
296139,1001,0.9990009990009991
297139,1000,1
298139,1000,1
299139,1000,1
300140,1001,0.9990009990009991
301142,1002,0.998003992015968
