timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
1001,1000,1
2001,1000,1
3001,1000,1
4003,1002,0.998003992015968
5004.000000000001,1001.0000000000009,0.999000999000998
6005.000000000001,1001,0.9990009990009991
7005,999.9999999999991,1.0000000000000009
8005,1000,1
9005,1000,1
10005,1000,1
11005,1000,1
12005,1000,1
13005,1000,1
14005,1000,1
15005,1000,1
16005,1000,1
17005,1000,1
18005,1000,1
19005,1000,1
20005,1000,1
21005,1000,1
22005,1000,1
23005,1000,1
24005,1000,1
25005,1000,1
26005,1000,1
27005,1000,1
28005,1000,1
29005,1000,1
30005.000000000004,1000.0000000000036,0.9999999999999964
31005,999.9999999999964,1.0000000000000038
32005,1000,1
33005,1000,1
34005,1000,1
35005,1000,1
36005,1000,1
37005,1000,1
38005,1000,1
39005,1000,1
40005,1000,1
41005,1000,1
42005,1000,1
43005,1000,1
44005,1000,1
45005,1000,1
46005,1000,1
47005,1000,1
48005,1000,1
49005,1000,1
50005,1000,1
51005,1000,1
52005,1000,1
53005,1000,1
54005,1000,1
55005,1000,1
56005,1000,1
57005,1000,1
58005,1000,1
59005,1000,1
60005,1000,1
61005,1000,1
62006,1001,0.9990009990009991
63006,1000,1
64006,1000,1
65006,1000,1
66006,1000,1
67006,1000,1
68006,1000,1
69006,1000,1
70006,1000,1
71006,1000,1
72006,1000,1
73006,1000,1
74006,1000,1
75006,1000,1
76006,1000,1
77006,1000,1
78006,1000,1
79006,1000,1
80006,1000,1
81006,1000,1
82006,1000,1
83006,1000,1
84006,1000,1
85006,1000,1
86006,1000,1
87006,1000,1
88006,1000,1
89006,1000,1
90006,1000,1
91006,1000,1
92006,1000,1
93006,1000,1
94006,1000,1
95006,1000,1
96006,1000,1
97006,1000,1
98006,1000,1
99006,1000,1
100006,1000,1
101006,1000,1
102006,1000,1
103006,1000,1
104006,1000,1
105006,1000,1
106006,1000,1
107006,1000,1
108006,1000,1
109006,1000,1
110006,1000,1
111006,1000,1
112006,1000,1
113006,1000,1
114006,1000,1
115006,1000,1
116006,1000,1
117006,1000,1
118006,1000,1
119006,1000,1
120006,1000,1
121006,1000,1
122006,1000,1
123006,1000,1
124006,1000,1
125006,1000,1
126006.00000000001,1000.0000000000146,0.9999999999999853
127006.00000000001,1000,1
128006.00000000001,1000,1
129006,999.9999999999854,1.0000000000000147
130006,1000,1
131006,1000,1
132006,1000,1
133006,1000,1
134006,1000,1
135006,1000,1
136006,1000,1
137006,1000,1
138006,1000,1
139006,1000,1
140006,1000,1
141006,1000,1
142006,1000,1
143006,1000,1
144006,1000,1
145006,1000,1
146006,1000,1
147006,1000,1
148006,1000,1
149006,1000,1
150006,1000,1
151006,1000,1
152006,1000,1
153006,1000,1
154006,1000,1
155006,1000,1
156006,1000,1
157006,1000,1
158006,1000,1
159006,1000,1
160006,1000,1
161006,1000,1
162006,1000,1
163006,1000,1
164006,1000,1
165006,1000,1
166006,1000,1
167006,1000,1
168006,1000,1
169006,1000,1
170006,1000,1
171006,1000,1
172006,1000,1
173006,1000,1
174006,1000,1
175006,1000,1
176006,1000,1
177006,1000,1
178006,1000,1
179006,1000,1
180006,1000,1
181006,1000,1
182006,1000,1
183006,1000,1
184006,1000,1
185006,1000,1
186006,1000,1
187006,1000,1
188006,1000,1
189006,1000,1
190006,1000,1
191006,1000,1
192006,1000,1
193006,1000,1
194006,1000,1
195006,1000,1
196006,1000,1
197006,1000,1
198006,1000,1
199006,1000,1
200006,1000,1
201006,1000,1
202006,1000,1
203006,1000,1
204006,1000,1
205006,1000,1
206006,1000,1
207006,1000,1
208006,1000,1
209006,1000,1
210006,1000,1
211006,1000,1
212006,1000,1
213006,1000,1
214006,1000,1
215006,1000,1
216006,1000,1
217006,1000,1
218006,1000,1
219006,1000,1
220006,1000,1
221006,1000,1
222006,1000,1
223006,1000,1
224006,1000,1
225006,1000,1
226006,1000,1
227006,1000,1
228006,1000,1
229006,1000,1
230006,1000,1
231006,1000,1
232006,1000,1
233006,1000,1
234006,1000,1
235006,1000,1
236006,1000,1
237006,1000,1
238006,1000,1
239006,1000,1
240006,1000,1
241006,1000,1
242006,1000,1
243006,1000,1
244006,1000,1
245006,1000,1
246006,1000,1
247006,1000,1
248006,1000,1
249006,1000,1
250006,1000,1
251006,1000,1
252006,1000,1
253006,1000,1
254006,1000,1
255006,1000,1
256006,1000,1
257006,1000,1
258006,1000,1
259006,1000,1
260006,1000,1
261006,1000,1
262006,1000,1
263006,1000,1
264006,1000,1
265006,1000,1
266006,1000,1
267006,1000,1
268006,1000,1
269006,1000,1
270006,1000,1
271006,1000,1
272006,1000,1
273006,1000,1
274006,1000,1
275006,1000,1
276006,1000,1
277006,1000,1
278006,1000,1
279006,1000,1
280006,1000,1
281006,1000,1
282006,1000,1
283006,1000,1
284006,1000,1
285006,1000,1
286006,1000,1
287006,1000,1
288006,1000,1
289006,1000,1
290006,1000,1
291006,1000,1
292006,1000,1
293006,1000,1
294006,1000,1
295006,1000,1
296006,1000,1
297006,1000,1
298006,1000,1
299006,1000,1
300006,1000,1
301018,1012,0.9881422924901185
