timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
51,50,1
101,50,1
151,50,1
201,50,1
741.0000000000005,540.0000000000005,0.0925925925925925
1740,998.9999999999995,0.050050050050050074
2559,819,0.061050061050061055
4551,1992,0.0251004016064257
6030,1479,0.03380662609871535
10034,4004,0.012487512487512488
17454,7420,0.0067385444743935305
18021,567,0.08818342151675485
34043,16022,0.0031207090250905006
65909,31866,0.0015690704826460803
89446,23537,0.0021243149084420273
153537,64091,0.000780140737389025
260593,107056,0.0004670452847108056
